animal,group,dam_age
SIMUSAF000003486138,186299_2020_S_TRUE,695
SIMUSAF000002581519,201248_2012_S_TRUE,668
SIMUSAF000002758290,008605_2015_S_TRUE,758
SIMUSAF000003007746,100734_2017_S_TRUE,742
SIMUSAF000003057199,097967_2017_S_TRUE,715
SIMUSAF000009524133,071720_2009_S_TRUE,713
SIMUSAF000003303661,008973_2019_S_TRUE,745
SIMUSAF000003233672,261710_2018_F_TRUE,721
SIMUSAF000002564053,176827_2012_S_TRUE,703
SIMUSAF000002556549,007215_2012_S_TRUE,709
SIMUSAF000003169434,209245_2018_S_TRUE,669
SIMUSAF000003391528,328635_2019_F_TRUE,727
SIMUSAF000003356894,003773_2016_S_TRUE,739
SIMUSAF000002850264,067567_2016_S_TRUE,721
SIMUSAF000002493280,250923_2011_S_TRUE,688
SIMUSAF000003045811,207114_2017_S_TRUE,665
SIMUSAF000002560940,067563_2011_F_TRUE,752
SIMUSAF000003291046,165201_2019_S_TRUE,710
SIMUSAF000003165619,067532_2018_S_TRUE,777
SIMUSAF000002570922,279360_2012_F_TRUE,772
