animal,heifer,group,dam_age,c_interval,new_cd,dec
SIMUSAF000002138530,FALSE,247581_2010_F_FALSE,3449,369,10,1
SIMUSAF000009711298,TRUE,213878_2012_S_TRUE,689,NA,0,1
SIMUSAF000002444012,FALSE,033912_2015_S_FALSE,2635,471,40,2
SIMUSAF000002982447,TRUE,171834_2016_F_TRUE,673,NA,52,2
SIMUSAF000002252795,FALSE,051418_2016_S_FALSE,4372,357,1,1
SIMUSAF000002146399,FALSE,074349_2009_F_FALSE,2841,NA,59,2
SIMUSAF000002250657,FALSE,056821_2011_S_FALSE,2550,352,4,1
SIMUSAF000002265911,FALSE,235805_2016_S_FALSE,4408,387,33,2
SIMUSAF000002336502,FALSE,004220_2009_S_FALSE,1089,NA,32,2
SIMUSAF000008900245,FALSE,071720_2012_S_FALSE,3309,361,10,1
SIMUSAF000002523007,TRUE,002360_2011_S_TRUE,702,NA,29,1
SIMUSAF000002995294,TRUE,207799_2017_S_TRUE,720,NA,0,1
SIMUSAF000003165595,FALSE,184272_2019_S_FALSE,883,NA,7,1
SIMUSAF000002712933,FALSE,087145_2020_S_FALSE,4071,334,33,2
SIMUSAF000009574714,FALSE,070192_2010_F_FALSE,1073,NA,28,1
SIMUSAF000002975635,FALSE,007215_2019_S_FALSE,1439,353,60,2
SIMUSAF000002539877,FALSE,295645_2015_F_FALSE,2198,376,65,3
SIMUSAF000002565382,FALSE,192534_2013_S_FALSE,916,NA,0,1
SIMUSAF000002477545,FALSE,032234_2019_F_FALSE,4104,722,0,1
SIMUSAF000002919297,TRUE,006207_2016_S_TRUE,702,NA,13,1
SIMUSAF000003303475,FALSE,115254_2020_S_FALSE,1044,349,5,1
SIMUSAF000002608903,FALSE,000110_2012_S_FALSE,2200,365,21,1
SIMUSAF000009829685,FALSE,228857_2015_S_FALSE,5403,349,4,1
SIMUSAF000003337980,FALSE,328635_2017_F_FALSE,1845,NA,23,1
SIMUSAF000009664897,FALSE,206853_2011_S_FALSE,1512,362,52,2
SIMUSAF000002542083,FALSE,049731_2016_S_FALSE,2289,357,26,1
SIMUSAF000002159897,FALSE,158973_2012_S_FALSE,3632,370,20,1
SIMUSAF000002459138,FALSE,210859_2012_S_FALSE,1561,778,98,4
SIMUSAF000002657195,TRUE,222099_2014_S_TRUE,694,NA,6,1
SIMUSAF000009732940,FALSE,158099_2011_S_FALSE,1123,NA,0,1
SIMUSAF000002263250,FALSE,048612_2012_F_FALSE,2953,332,53,2
SIMUSAF000002604944,FALSE,220135_2019_F_FALSE,3259,365,7,1
SIMUSAF000002653067,FALSE,245306_2017_S_FALSE,1817,347,5,1
SIMUSAF000003433751,FALSE,100138_2018_S_FALSE,1437,NA,4,1
SIMUSAF000009600409,FALSE,001490_2015_S_FALSE,2557,739,39,2
SIMUSAF000002608363,FALSE,235805_2018_S_FALSE,2955,342,12,1
SIMUSAF000002641057,FALSE,182335_2015_S_FALSE,1286,423,63,3
SIMUSAF000002657342,FALSE,061051_2019_S_FALSE,2561,356,30,1
SIMUSAF000009570958,TRUE,223617_2010_S_TRUE,709,NA,10,1
SIMUSAF000009119443,FALSE,258111_2009_S_FALSE,1122,NA,58,2
SIMUSAF000003024138,FALSE,245425_2020_S_FALSE,1873,403,44,2
SIMUSAF000009505857,FALSE,042739_2011_S_FALSE,2596,NA,38,2
SIMUSAF000003027325,FALSE,262987_2018_S_FALSE,1143,405,22,1
SIMUSAF000002272370,FALSE,202710_2009_S_FALSE,1804,NA,18,1
SIMUSAF000002569028,FALSE,131720_2013_S_FALSE,1088,355,1,1
SIMUSAF000002481451,FALSE,006438_2011_S_FALSE,1135,383,27,1
SIMUSAF000009681361,FALSE,057766_2011_S_FALSE,2910,349,26,1
SIMUSAF000003240968,FALSE,295645_2019_S_FALSE,1151,376,45,2
SIMUSAF000009745442,FALSE,000100_2015_S_FALSE,2184,315,15,1
SIMUSAF000002358434,FALSE,059923_2017_S_FALSE,4040,370,10,1
SIMUSAF000003023666,FALSE,280775_2019_F_FALSE,1453,363,0,1
SIMUSAF000002316658,FALSE,220135_2013_S_FALSE,2913,370,27,1
SIMUSAF000002359473,FALSE,171834_2010_S_FALSE,1432,310,55,2
SIMUSAF000002128926,FALSE,001799_2009_S_FALSE,3279,NA,22,1
SIMUSAF000003209967,FALSE,230280_2020_S_FALSE,2554,366,27,1
SIMUSAF000002693527,FALSE,262987_2019_S_FALSE,2591,409,114,4
SIMUSAF000002756556,FALSE,196882_2020_S_FALSE,2935,411,28,1
SIMUSAF000009700299,FALSE,000100_2013_S_FALSE,1081,363,9,1
SIMUSAF000002554120,FALSE,001485_2016_S_FALSE,2189,399,58,2
SIMUSAF000002723049,FALSE,282359_2018_F_FALSE,2213,349,0,1
SIMUSAF000002570250,FALSE,168882_2017_S_FALSE,2573,404,34,2
SIMUSAF000002632454,FALSE,153713_2015_S_FALSE,1288,386,79,3
SIMUSAF000002220825,FALSE,000967_2013_S_FALSE,3651,343,21,1
SIMUSAF000002939713,FALSE,041887_2018_S_FALSE,1453,345,20,1
SIMUSAF000003088900,FALSE,101368_2020_S_FALSE,1775,478,38,2
SIMUSAF000002650371,FALSE,002945_2016_F_FALSE,1846,375,41,2
SIMUSAF000009838781,TRUE,240626_2014_S_TRUE,723,NA,12,1
SIMUSAF000002567806,TRUE,034804_2012_S_TRUE,704,NA,9,1
SIMUSAF000002474854,FALSE,003887_2011_S_FALSE,1109,NA,51,2
SIMUSAF000002650740,TRUE,227671_2014_S_TRUE,714,NA,0,1
SIMUSAF000003059902,FALSE,171834_2020_S_FALSE,1812,378,59,2
SIMUSAF000002507715,FALSE,085948_2016_S_FALSE,2542,360,8,1
SIMUSAF000002104415,FALSE,229367_2011_S_FALSE,3766,NA,4,1
SIMUSAF000002608924,FALSE,000110_2014_S_FALSE,3662,369,37,2
SIMUSAF000002952060,FALSE,139893_2019_S_FALSE,1706,309,6,1
AANUSAF000014212272,FALSE,067563_2011_F_FALSE,3657,355,11,1
SIMUSAF000002659172,FALSE,048066_2020_S_FALSE,2964,356,7,1
SIMUSAF000009069716,FALSE,223614_2018_S_FALSE,4412,396,48,2
SIMUSAF000002469320,FALSE,001601_2012_S_FALSE,1498,387,49,2
SIMUSAF000003231092,TRUE,193220_2019_S_TRUE,695,NA,0,1
AANUSAF000017458499,FALSE,244424_2016_F_FALSE,1903,424,85,3
SIMUSAF000002624755,FALSE,272544_2018_S_FALSE,2595,378,41,2
SIMUSAF000002759225,FALSE,296861_2018_F_FALSE,2181,349,28,1
SIMUSAF000002137114,FALSE,000174_2014_S_FALSE,4764,388,38,2
SIMUSAF000003574358,FALSE,282824_2019_S_FALSE,1083,389,23,1
SIMUSAF000003087229,TRUE,160268_2017_F_TRUE,719,NA,5,1
SIMUSAF000002425279,FALSE,250201_2016_F_FALSE,3546,326,1,1
SIMUSAF000002608907,FALSE,000110_2016_S_FALSE,3993,326,32,2
AANUSAF000017232566,FALSE,244424_2016_F_FALSE,1894,409,81,3
SIMUSAF000002783030,FALSE,085948_2018_S_FALSE,1832,331,16,1
SIMUSAF000003374761,FALSE,305631_2019_S_FALSE,2558,374,15,1
SIMUSAF000002170730,FALSE,137577_2009_S_FALSE,2629,NA,14,1
SIMUSAF000002753720,FALSE,001751_2016_S_FALSE,1117,372,0,1
SIMUSAF000002928324,FALSE,297714_2020_F_FALSE,3255,398,164,4
AANUSAF000016804202,FALSE,121765_2020_S_FALSE,3984,382,19,1
SIMUSAF000009722611,FALSE,071720_2014_S_FALSE,1456,355,10,1
SIMUSAF000002627415,FALSE,008610_2012_F_FALSE,2601,392,46,2
SIMUSAF000001944221,FALSE,089330_2009_S_FALSE,4764,NA,14,1
SIMUSAF000002896746,FALSE,056821_2019_S_FALSE,1854,336,20,1
SIMUSAF000002612897,FALSE,056515_2016_S_FALSE,1843,385,34,2
SIMUSAF000009697002,FALSE,249078_2015_S_FALSE,1826,359,31,2
SIMUSAF000002375226,FALSE,007812_2009_S_FALSE,1122,NA,36,2
SIMUSAF000009722647,FALSE,071720_2013_S_FALSE,1062,362,1,1
SIMUSAF000003112815,FALSE,245306_2018_S_FALSE,1095,346,37,2
SIMUSAF000002358639,FALSE,114463_2011_F_FALSE,2580,NA,30,1
SIMUSAF000002784058,TRUE,000292_2015_S_TRUE,733,NA,5,1
SIMUSAF000002621439,FALSE,216279_2016_S_FALSE,1856,329,33,2
SIMUSAF000002308338,FALSE,102026_2012_S_FALSE,2938,336,21,1
SIMUSAF000002733759,TRUE,002360_2015_S_TRUE,664,NA,8,1
AANUSAF000016655384,FALSE,244424_2014_F_FALSE,1881,763,67,3
SIMUSAF000003162479,TRUE,216008_2017_F_TRUE,727,NA,12,1
SIMUSAF000002485594,FALSE,174428_2017_S_FALSE,2953,374,11,1
AANUSAF000015420326,FALSE,174170_2009_S_FALSE,2567,NA,32,2
